course,campus,class_number,component,auto_enrolls,days,times,location,waitlist,instructor,enrolled,limit
HTHRHSC 5900,,5629.0,L,,,,ONLINE,,T.Brasky,44,60
HTHRHSC 5900,,5736.0,L,,T R,800A-0920,HM0280,,J.Clutter,24,100
HTHRHSC 5900,,5814.0,L,,,,ONLINE,,R.Andrews,58,100
HTHRHSC 5900,,5950.0,L,,,,ONLINE,,K.Heitman,78,80
HTHRHSC 5900,,5447.0,L,,,,ONLINE,,J.Clutter,1,20
HTHRHSC 5900,,5737.0,L,,T R,800A-0920,HM0280,,J.Clutter,0,5
HTHRHSC 5900E,,5448.0,L,,,,ONLINE,,J.Clutter,3,10
HTHRHSC 5900E,,5630.0,L,,T R,800A-0920,HM0280,,J.Clutter,1,10
HTHRHSC 6193,,5615.0,I,,T,430P-0730,,,D.Kegelmeyer,0,10
HTHRHSC 6700,,5904.0,L,,,,ONLINE,,J.Schoen,10,10
HTHRHSC 6795,,5714.0,S,,,,ONLINE,,"A.McCabe, K.Welker",0,30
HTHRHSC 7150,,5702.0,L,,R,100P-0400,AH0240,,D.Basso,10,25
HTHRHSC 7250,,5751.0,L,,,,,,,0,25
HTHRHSC 7250,,37523.0,L,,,,ONLINE,,M.Robinson,16,20
HTHRHSC 7350,,5966.0,L,,,,,,,0,10
HTHRHSC 7350,,36841.0,L,,,,ONLINE,,P.Rafferty-Semon,8,10
HTHRHSC 7400,,36827.0,S,,F,800A-1100,GR1175,,Y.Kang,9,20
HTHRHSC 7411,,5967.0,L,,,,,,,0,20
HTHRHSC 7411,,5968.0,B,,,,,,,0,20
HTHRHSC 7718,,5576.0,L,,M,410P-0650,MC0230,,A.Witwer,1,9
HTHRHSC 7888,,5445.0,S,,F,130A-1230,AH0136,,J.Caccese,15,20
HTHRHSC 7910,,5676.0,L,,,,ONLINE,,"K.Pottkotter, E.Kemp",122,124
HTHRHSC 8680,,5957.0,L,,,,,,,0,15
HTHRHSC 8888,,5499.0,S,,F,130A-1230,AH0136,,J.Caccese,4,10
AEROENG 2405,,10860.0,L,,M W F,150P,SOE0001,,J.Chen,136,135
AEROENG 3520,,11238.0,L,,M W F,130A,DL0113,,A.Jhemi,136,135
AEROENG 3522,,11845.0,L,,T R,220P-0340,SOE0001,,M.Kumar,118,120
AEROENG 3543,,10861.0,L,,M W F,240P,ML0100,,J.McNamara,119,125
AEROENG 3570,,10862.0,L,,T R,110A-1230,HH0180,,J.Bons,121,122
AEROENG 3580,,10863.0,L,,M W F,130A,ML0100,,L.Duan,121,122
AEROENG 4511,,10864.0,L,,M W F,150P,MP1015,,B.Ritchie,84,95
AEROENG 4516,,10930.0,L,,M W,935A-1055,SON0048,,C.Whitfield,39,47
AEROENG 4516,,10931.0,B,(10930),F,020A,SON0048,,"C.Whitfield, C.Trussa",39,47
AEROENG 4518,,10932.0,L,,M W,800A-0920,SOE0125,,J.Horack,52,60
AEROENG 4518,,10933.0,B,(10932),F,020A,BE0120,,J.Horack,52,60
AEROENG 4999,,10907.0,I,,R,245P-0205,CL0119,,G.Agarwal,0,10
AEROENG 4999,,11416.0,I,,R,220P-0340,SM2186,,G.Agarwal,0,10
AEROENG 4999H,,11417.0,I,,R,220P-0340,SM2186,,G.Agarwal,3,10
AEROENG 4999H,,10909.0,I,,R,245P-0205,CL0119,,G.Agarwal,3,10
AEROENG 5610,,10915.0,L,,T R,935A-1055,SON0054,,B.Ritchie,11,35
AEROENG 5610,,10914.0,L,,T R,935A-1055,SON0054,,B.Ritchie,1,5
AEROENG 5612,,12420.0,L,,,,,,,0,35
AEROENG 5612,,12419.0,L,,,,,,,0,5
AEROENG 5616,,35689.0,L,,,,,,,0,40
AEROENG 5616,,35688.0,L,,,,,,,0,5
AEROENG 5620,,11859.0,L,,T R,110A-1230,UH0051,,A.Jhemi,4,30
AEROENG 5620,,11860.0,L,,T R,110A-1230,UH0051,,A.Jhemi,2,5
AEROENG 5751,,10865.0,L,,T R,355P-0515,MP2019,,R.Mathison,35,43
AEROENG 5751,,10866.0,L,,T R,355P-0515,MP2019,,R.Mathison,3,2
AEROENG 5752,,10917.0,L,,T R,220P-0340,SOE0040,,J.Horack,46,55
AEROENG 5752,,10916.0,L,,T R,220P-0340,SOE0040,,J.Horack,6,5
AEROENG 6860,,12421.0,L,,M W,000A-1120,AARL100,,"J.Bons, J.Little",18,20
AEROENG 7774,,36132.0,L,,M W,935A-1055,BO0316,,,0,20
AEROENG 8850,,37828.0,L,,M W,110A-1230,SM2186,,D.Goswami,3,15
AEROENG 8873,,12422.0,L,,,,,,,0,20
AEROENG 8890,,10898.0,S,,F,300P-0440,SON0056,,D.Gaitonde,35,36
AEROENG 8890,,11720.0,S,,,,,,D.Gaitonde,30,50
TURKISH 1102,,20514.0,L,,RF,500P,ONLINE,,C.Steele,5,17
TURKISH 2101,,28249.0,L,,TWRF,400P,ONLINE,,C.Steele,1,17
TURKISH 7601,,29493.0,L,,W,300P-0400,HH0335,,,0,0
EDUCST 2189S,,14836.0,L,,M W F,910A-1055,,,"A.Telesman, C.Conway, C.Viriyasatien, A.Stults, K.Harris",1,250
EDUCST 2189S,,35428.0,L,,M W,910A-1055,RA0115,,"A.Telesman, K.Harris (SI), C.Conway (SI)",30,35
EDUCST 2189S,,35429.0,L,,M W,910A-1055,PEA0111,,"A.Telesman, C.Conway (SI), A.Stults (SI)",25,34
EDUCST 2189S,,35430.0,L,,M W,910A-1055,RA0166,,"A.Telesman, C.Conway (SI), C.Viriyasatien (SI)",32,32
EDUCST 2189S,,35431.0,L,,M W,910A-1055,PEA0103,,"A.Telesman, C.Conway (SI), K.Harris (SI)",23,30
EDUCST 2189S,,35432.0,L,,M W,910A-1055,RA0009,,"A.Telesman, C.Conway (SI), A.Stults (SI)",32,50
EDUCST 2189S,,35433.0,L,,M W,910A-1055,PEA0109,,"A.Telesman, C.Conway (SI), C.Viriyasatien (SI)",27,36
EDUCST 2189S,,14837.0,L,,M W F,910A-1055,PEA0476,,"C.Viriyasatien, C.Conway, A.Telesman",9,75
EDUCST 2189S,,35434.0,L,,,,,,,0,49
EDUCST 5189,,14680.0,S,,,,,,"A.Telesman, S.Shrewsbury-Braxton, M.Breedlove, C.Conway",5,20
EDUCST 5189,,14679.0,S,,,,,,"A.Telesman, S.Shrewsbury-Braxton, M.Breedlove, C.Conway",0,20
EDUCST 5194,,37256.0,W,,F,300P,YN0250,,J.von Spiegel,7,20
EDUCST 5880.01,,15416.0,S,,T,530P-0720,,,"M.Kolman, J.Hall",0,25
EDUCST 5880.01,,15415.0,S,,T,530P-0720,,,"M.Kolman, J.Hall",0,25
EDUCST 5880.07,,14371.0,S,,T,330P-0515,ONLINE,,S.Blake,0,25
EDUCST 5880.07,,14370.0,S,,T,330P-0515,ONLINE,,S.Blake,0,25
EDUCST 7765,,15690.0,L,,M,530P-0810,ONLINE,,M.Mayhew,20,30
EDUCST 8189,,14876.0,F,,,,ONLINE,,{7W2},0,10
EDUCST 8189,,14360.0,F,,,,,,P.Pasque,0,10
EDUCST 8189,,14361.0,F,,,,ONLINE,,S.Yu,0,10
EDUCST 8189,,14362.0,F,,,,,,,0,10
EDUCST 8189,,14872.0,F,,,,,,,0,10
EDUCST 8189,,14873.0,F,,,,,,,0,10
EDUCST 8189,,14874.0,F,,,,,,,0,10
EDUCST 8189,,14875.0,F,,,,,,,0,10
EDUCST 8189,,14877.0,F,,,,ONLINE,,{7W2},0,10
EDUCST 8189,,14878.0,F,,,,ONLINE,,{7W2},0,10
EDUCST 8191,,14300.0,F,,,,,,L.Patton Davis,0,10
EDUCST 8191,,14302.0,F,,,,,,E.Anderman,0,10
EDUCST 8191,,14301.0,F,,,,,,M.Kim,2,10
EDUCST 8191,,14303.0,F,,,,,,S.Quaye,0,10
EDUCST 8191,,14304.0,F,,,,,,{7W2} N.Arnold,0,10
EDUCST 8191,,14375.0,F,,,,,,E.Fletcher,4,10
EDUCST 8191,,14305.0,F,,,,,,J.Blount,0,10
EDUCST 8191,,14374.0,F,,,,,,{7W2} K.Xie,0,10
EDUCST 8191,,14306.0,F,,,,,,J.Plasman,0,10
EDUCST 8191,,14307.0,F,,,,,,M.Conrath,0,10
EDUCST 8191,,14308.0,F,,,,,,A.Correia,0,10
EDUCST 8191,,14309.0,F,,,,,,P.Pasque,0,10
EDUCST 8191,,14310.0,F,,,,,,J.D'Agostino,1,10
EDUCST 8191,,14311.0,F,,,,,,C.Dollarhide,0,10
EDUCST 8191,,14312.0,F,,,,,,A.Errante,1,10
EDUCST 8191,,14313.0,F,,,,,,D.Gallant,0,10
EDUCST 8191,,14314.0,F,,,,ONLINE,,T.Stuckey,0,10
EDUCST 8191,,14315.0,F,,,,,,B.Gimbert,0,10
EDUCST 8191,,14316.0,F,,,,,,M.Glassman,0,10
EDUCST 8191,,14317.0,F,,,,,,R.Goddard,0,10
EDUCST 8191,,14318.0,F,,,,,,Y.Goddard Sage,0,10
EDUCST 8191,,14319.0,F,,,,,,D.Granello,0,10
EDUCST 8191,,14320.0,F,,,,,,S.Graves,0,10
EDUCST 8191,,14321.0,F,,,,,,T.Gezer,0,10
EDUCST 8191,,14322.0,F,,,,,,W.Thompson,3,10
EDUCST 8191,,14323.0,F,,,,,,R.McMillian,1,10
EDUCST 8191,,14324.0,F,,,,,,L.Joseph,0,10
EDUCST 8191,,14325.0,F,,,,,,L.Justice,2,10
EDUCST 8191,,14326.0,F,,,,,,M.Konrad,0,10
EDUCST 8191,,14327.0,F,,,,,,T.Lin,3,10
EDUCST 8191,,14328.0,F,,,,,,N.Arnold,1,10
EDUCST 8191,,14329.0,F,,,,,,M.Brock,3,10
EDUCST 8191,,14330.0,F,,,,,,H.Malone,0,10
EDUCST 8191,,14331.0,F,,,,,,M.Mayhew,1,10
EDUCST 8191,,14332.0,F,,,,,,A.Miranda,0,10
EDUCST 8191,,14333.0,F,,,,,,J.Moore,0,10
EDUCST 8191,,14334.0,F,,,,,,S.Morgan,0,10
EDUCST 8191,,14335.0,F,,,,,,T.Middleton,0,10
EDUCST 8191,,14336.0,F,,,,,,J.Nespor,0,10
EDUCST 8191,,14337.0,F,,,,,,K.Mills,0,10
EDUCST 8191,,14338.0,F,,,,,,A.O'Connell,0,10
EDUCST 8191,,14339.0,F,,,,ONLINE,,P.Paul,0,10
EDUCST 8191,,14340.0,F,,,,,,D.Miller,0,10
EDUCST 8191,,14341.0,F,,,,,,K.Radliff,0,10
EDUCST 8191,,14342.0,F,,,,,,D.Stein,0,10
EDUCST 8191,,14343.0,F,,,,,,C.Gilson,2,10
EDUCST 8191,,14344.0,F,,,,ONLINE,,L.Anderman,0,10
EDUCST 8191,,14345.0,F,,,,,,T.Suspitsyna,1,10
EDUCST 8191,,14346.0,F,,,,,,S.Sweetland,0,10
EDUCST 8191,,14347.0,F,,,,,,R.Voithofer,1,10
EDUCST 8191,,14348.0,F,,,,,,B.Warnick,0,10
EDUCST 8191,,14349.0,F,,,,,,C.Wolters,1,10
EDUCST 8191,,14350.0,F,,,,,,K.Xie,0,10
EDUCST 8191,,14351.0,F,,,,,,S.Yu,0,10
EDUCST 8191,,14352.0,F,,,,,,C.Zirkle,0,10
EDUCST 8191,,14353.0,F,,,,,,B.Zyromski,0,10
EDUCST 8191,,14367.0,F,,,,,,K.Beard,0,10
EDUCST 8191,,14372.0,F,,,,,,K.Heidelburg,0,10
EDUCST 8191,,14369.0,F,,,,,,J.Moore,0,10
EDUCST 8191,,14373.0,F,,,,,,A.Barnes,0,10
EDUCST 8191,,14879.0,F,,,,ONLINE,,{7W2},0,10
EDUCST 8191,,38177.0,F,,,,,,H.Lee,1,10
EDUCST 8191,,14880.0,F,,,,ONLINE,,{7W2},0,10
EDUCST 8191,,14881.0,F,,,,ONLINE,,{7W2} A.Errante,0,10
EDUCST 8895,,15900.0,S,,,,ONLINE,,{7W2} S.Stone-Sabali,18,30
EDUCST 2189S,LMA,14690.0,F,,T,400P-0645,GA0330,,D.Swihart,23,25
EDUCST 2189S,MRN,14806.0,L,,T R,800A-1200,MR0246,,"M.Herzberg, P.Muir, M.Murphy",13,25
EDUCST 2189S,NWK,14752.0,L,,T R,800A-1200,OFFCAMPUS,,C.Idleman,13,30
EDUCST 2189S,NWK,14751.0,L,,M W,800A-1200,OFFCAMPUS,,K.Frazier,12,25
ESSPSY 6189,,14567.0,F,,R,130P-0300,PEA0412,,K.Radliff,8,25
ESSPSY 7189,,14562.0,F,,M,145P-0345,UH0047,,K.Radliff,10,25
ESSPSY 7193,,14563.0,I,,T,200P-0130,PEA0412,,S.Shariff,17,20
ESSPSY 7193,,15397.0,I,,T,200P-0330,PEA0412,,R.Hutcherson,16,20
ESSPSY 8057,,15565.0,L,,M,500P-0800,PEA0412,,K.Goodwin,17,20
ESSPSY 8060,,15566.0,L,,W,100P-0300,ONLINE,,L.Joseph,10,20
ESSPSY 8079,,14560.0,L,,M,215P-0300,PEA0412,,K.Heidelburg,17,20
ESSPSY 8080,,14575.0,L,,R,430P-0715,PEA0412,,S.Flaum-Horvath,11,20
ESSPSY 8082,,14561.0,L,,W,800A-1140,UH0090,,K.Heidelburg,17,20
ESSPSY 8189,,14798.0,C,,R,900A-1100,ONLINE,,S.Graves,8,25
ESSPSY 8191.01,,14570.0,F,,R,430P-0630,ONLINE,,L.Joseph,5,20
ESSPSY 8191.01,,14572.0,F,,,,,,,0,0
ESSPSY 8191.01,,14573.0,F,,,,,,,0,0
ESSPSY 8191.01,,14574.0,F,,,,,,,0,0
ESSPSY 8191.02,,14571.0,F,,T,430P-0630,ONLINE,,L.Joseph,4,20
ESPHE 3206,,14021.0,S,,T R,935A-1055,PEA0109,,S.Moore,29,30
ESPHE 3206,,14025.0,S,,T R,245P-0205,PEA0109,,I.Tyson,26,30
ESPHE 3206,,14024.0,S,,M,430P-0650,HC0246,,L.Morrow,30,30
ESPHE 3206,,15662.0,S,,M W,220P-0340,PEA0109,,W.Ballard,30,30
ESPHE 3206,,35013.0,S,,M W,245P-0205,PEA0109,,W.Ballard,29,30
ESPHE 3410,,14041.0,L,,T R,110A-1230,PEA0103,,S.Moore,16,30
ESPHE 4280,,14044.0,L,,R,245P-0205,,,,0,30
ESPHE 4403,,14022.0,L,,T R,935A-1055,HA0005,,I.Tyson,6,30
ESPHE 5440,,14046.0,L,,M,430P-0715,RA0110,,W.Thompson,11,30
ESPHE 5440,,14045.0,L,,M,430P-0715,RA0110,,W.Thompson,7,31
ESPHE 3410,LMA,15737.0,L,,,,ONLINE,,H.Lee,29,25
ESPHE 3206,MNS,14012.0,L,,T,430P-0715,RL0229,,B.Dewey,20,24
ESPHE 4280,MRN,14011.0,L,,,,ONLINE,,A.Appova,17,25
ESPHE 3206,NWK,14013.0,S,,M W,220P-0340,HP0080,,C.Warner,24,24
PHYSICS 1104,,23231.0,L,,T R,110A-1230,SM2005,,C.Hendrus,27,30
PHYSICS 1104,,22767.0,L,,T R,245P-0205,SM2005,,,0,0
PHYSICS 1104,,22768.0,L,,T R,300P-0420,SM2005,,,0,0
PHYSICS 1104,,22769.0,L,,W F,935A-1055,SM2005,,,0,0
PHYSICS 1104,,22770.0,L,,W F,110A-1230,SM2005,,,0,0
PHYSICS 1107.01,,22771.0,B,,T R,910A-1205,SM2082,,,0,0
PHYSICS 1107.01,,22772.0,B,,,,,,,0,25
PHYSICS 1107.01,,22773.0,B,,T R,530P-0825,SM2082,,,0,0
PHYSICS 1110,,22774.0,L,,,,,,,0,80
PHYSICS 1200,,37901.0,L,,,,,,,0,0
PHYSICS 1200,,22875.0,L,,M  R,240P,SM1153,,M.Fellinger,219,224
PHYSICS 1200,,22876.0,B,,M,300P-0505,SM2017A,,T.Bolland (GR),25,28
PHYSICS 1200,,22877.0,R,"(22875,22876)",W F,240P,SM2150,,T.Bolland (GY),25,28
PHYSICS 1200,,22912.0,B,,M,300P-0505,SM2017B,,D.Divaratne (GR),27,28
PHYSICS 1200,,22913.0,R,"(22875,22912)",W F,240P,SM1138,,D.Divaratne (GY),27,28
PHYSICS 1200,,22914.0,B,,T,800A-1005,SM2017A,,R.Desai (GR),28,28
PHYSICS 1200,,22915.0,R,"(22875,22914)",W F,240P,BO0317,,R.Desai (GY),28,28
PHYSICS 1200,,22916.0,B,,T,020A-1225,SM2017A,,J.Low (GR),28,28
PHYSICS 1200,,22917.0,R,"(22875,22916)",W F,240P,SM1064,,J.Low (GY),28,28
PHYSICS 1200,,22918.0,B,,T,240P-0245,SM2017A,,M.Fellinger (GR),28,28
PHYSICS 1200,,22919.0,R,"(22875,22918)",W F,240P,BO0316,,M.Fellinger (GY),28,28
PHYSICS 1200,,23013.0,B,,W,910A-1115,SM2017A,,H.Mei (GR),28,28
PHYSICS 1200,,23014.0,R,"(22875,23013)",W F,240P,BO0313,,H.Mei (GY),28,28
PHYSICS 1200,,23229.0,B,,W,910A-1115,SM2017B,,B.Zucker (GR),28,28
PHYSICS 1200,,23230.0,R,"(22875,23229)",W F,240P,BO0318,,B.Zucker (GY),28,28
PHYSICS 1200,,23392.0,B,,W,300P-0505,SM2017A,,L.Florez Gomez (GR),27,28
PHYSICS 1200,,23393.0,R,"(22875,23392)",W F,240P,BO0124,,L.Florez Gomez (GY),27,28
PHYSICS 1200,,22819.0,L,,M  R,150P,SM1153,,K.Honscheid,166,224
PHYSICS 1200,,22820.0,B,,M,910A-1115,SM2017A,,,0,0
PHYSICS 1200,,22821.0,R,"(22819,22820)",W F,150P,,,,0,0
PHYSICS 1200,,22861.0,B,,M,910A-1115,SM2017B,,H.Mei (GR),28,28
PHYSICS 1200,,22862.0,R,"(22819,22861)",W F,150P,SM1138,,H.Mei (GY),28,28
PHYSICS 1200,,22863.0,B,,M,300P-0505,SM2017C,,K.Reedy (GR),28,28
PHYSICS 1200,,22864.0,R,"(22819,22863)",W F,150P,BO0116,,K.Reedy (GY),28,28
PHYSICS 1200,,22865.0,B,,T,800A-1005,SM2017B,,,0,0
PHYSICS 1200,,22866.0,R,"(22819,22865)",W F,150P,,,,0,0
PHYSICS 1200,,22867.0,B,,T,800A-1005,SM2017C,,L.Florez Gomez (GR),27,28
PHYSICS 1200,,22868.0,R,"(22819,22867)",W F,150P,BO0318,,L.Florez Gomez (GY),27,28
PHYSICS 1200,,22869.0,B,,T,020A-1225,SM2017B,,M.Fellinger (GR),27,28
PHYSICS 1200,,22870.0,R,"(22819,22869)",W F,150P,BO0316,,M.Fellinger (GY),27,28
PHYSICS 1200,,22871.0,B,,W,300P-0505,SM2017B,,D.Divaratne (GY),28,28
PHYSICS 1200,,22872.0,R,"(22819,22871)",W F,150P,BO0124,,K.Honscheid (GY),28,28
PHYSICS 1200,,23394.0,B,,W,300P-0505,SM2017C,,P.Roustazadeh Sheikhyousefi (GR),28,28
PHYSICS 1200,,23395.0,R,"(22819,23394)",W F,150P,SM2150,,P.Roustazadeh Sheikhyousefi (GY),28,28
PHYSICS 1200,,27831.0,L,,M  R,300P,SM1153,,K.Honscheid,166,224
PHYSICS 1200,,23301.0,B,,M,910A-1115,SM2017C,,B.Manley (GR),28,28
PHYSICS 1200,,23302.0,R,"(27831,23301)",W F,300P,SM2144,,B.Manley (GY),28,28
PHYSICS 1200,,23303.0,B,,M,240P-0245,SM2017A,,T.Lombardi (GR),28,28
PHYSICS 1200,,23304.0,R,"(27831,23303)",W F,300P,SM1138,,T.Lombardi (GY),28,28
PHYSICS 1200,,23305.0,B,,T,240P-0245,SM2017B,,,0,0
PHYSICS 1200,,23306.0,R,"(27831,23305)",W F,300P,,,,0,0
PHYSICS 1200,,23307.0,B,,T,240P-0245,SM2017C,,J.Low (GR),28,28
PHYSICS 1200,,23308.0,R,"(27831,23307)",W F,300P,BE0260,,J.Low (GY),28,28
PHYSICS 1200,,23309.0,B,,T,300P-0505,SM2017A,,T.Bolland (GR),27,28
PHYSICS 1200,,23310.0,R,"(27831,23309)",W F,300P,BE0184,,T.Bolland (GY),27,28
PHYSICS 1200,,23311.0,B,,T,520P-0725,SM2017A,,P.Roustazadeh Sheikhyousefi (GY),27,28
PHYSICS 1200,,23312.0,R,"(27831,23311)",W F,300P,SM2150,,K.Honscheid (GY),27,28
PHYSICS 1200,,23313.0,B,,W,240P-0245,SM2017A,,,0,0
PHYSICS 1200,,23314.0,R,"(27831,23313)",W F,300P,,,,0,0
PHYSICS 1200,,23396.0,B,,W,240P-0245,SM2017B,,A.Fulsundar (GR),28,28
PHYSICS 1200,,23397.0,R,"(27831,23396)",W F,300P,SM2006,,A.Fulsundar (GY),28,28
PHYSICS 1200,,22989.0,L,,M  R,410P,SM1153,,T.Lombardi,162,224
PHYSICS 1200,,22873.0,B,,M,240P-0245,SM2017B,,,0,0
PHYSICS 1200,,22874.0,R,"(22989,22873)",W F,410P,,,,0,0
PHYSICS 1200,,22920.0,B,,M,240P-0245,SM2017C,,A.Fulsundar (GR),27,28
PHYSICS 1200,,22921.0,R,"(22989,22920)",W F,410P,SM2144,,A.Fulsundar (GY),27,28
PHYSICS 1200,,22990.0,B,,T,020A-1225,SM2017C,,K.Reedy (GR),26,28
PHYSICS 1200,,22991.0,R,"(22989,22990)",W F,410P,SM2180,,K.Reedy (GY),26,28
PHYSICS 1200,,22992.0,B,,T,300P-0505,SM2017B,,,0,0
PHYSICS 1200,,22993.0,R,"(22989,22992)",W F,410P,SOE0241,,,0,0
PHYSICS 1200,,22994.0,B,,T,300P-0505,SM2017C,,B.Zucker (GR),27,28
PHYSICS 1200,,22995.0,R,"(22989,22994)",W F,410P,MP1005,,B.Zucker (GY),27,28
PHYSICS 1200,,22996.0,B,,T,520P-0725,SM2017B,,T.Bolland (GR),28,28
PHYSICS 1200,,22997.0,R,"(22989,22996)",W F,410P,SOE0103,,T.Bolland (GY),28,28
PHYSICS 1200,,23015.0,B,,W,910A-1115,SM2017C,,B.Manley (GR),27,28
PHYSICS 1200,,23016.0,R,"(22989,23015)",W F,410P,SM2006,,B.Manley (GY),27,28
PHYSICS 1200,,23367.0,B,,W,240P-0245,SM2017C,,C.Thompson (GR),27,28
PHYSICS 1200,,23368.0,R,"(22989,23367)",W F,410P,SM1042,,C.Thompson (GY),27,28
PHYSICS 1200,,22998.0,L,,R,520P,SM1153,,,0,224
PHYSICS 1200,,22999.0,B,,,,,,,0,0
PHYSICS 1200,,23000.0,R,"(22998,22999)",W F,520P,,,,0,0
PHYSICS 1200,,23001.0,B,,,,,,,0,0
PHYSICS 1200,,23002.0,R,"(22998,23001)",W F,520P,,,,0,0
PHYSICS 1200,,23003.0,B,,,,,,,0,0
PHYSICS 1200,,23004.0,R,"(22998,23003)",W,520P,,,,0,0
PHYSICS 1200,,23005.0,B,,T,,,,,0,0
PHYSICS 1200,,23006.0,R,"(22998,23005)",W F,520P,,,,0,0
PHYSICS 1200,,23007.0,B,,T,,,,,0,0
PHYSICS 1200,,23008.0,R,"(22998,23007)",W F,520P,,,,0,0
PHYSICS 1200,,23009.0,B,,T,,,,,0,0
PHYSICS 1200,,23010.0,R,"(22998,23009)",W F,520P,,,,0,0
PHYSICS 1200,,23011.0,B,,,,,,,0,0
PHYSICS 1200,,23012.0,R,"(22998,23011)",W F,520P,,,,0,0
PHYSICS 1200,,23398.0,B,,,,,,,0,0
PHYSICS 1200,,23399.0,R,"(22998,23398)",W F,520P,,,,0,0
PHYSICS 1201,,22822.0,L,,M  R,800A,SM1153,,T.Humanic,210,224
PHYSICS 1201,,22823.0,B,,M,020A-1225,SM2077A,,L.Nestor (GR),28,28
PHYSICS 1201,,22824.0,R,"(22822,22823)",W F,800A,MP1008,,L.Nestor (GY),28,28
PHYSICS 1201,,22878.0,B,,M,240P-0245,SM2077A,,D.Sapkota (GR),28,28
PHYSICS 1201,,22879.0,R,"(22822,22878)",W F,800A,SM2144,,D.Sapkota (GY),28,28
PHYSICS 1201,,22880.0,B,,M,240P-0245,SM2077B,,R.McDowell (GR),26,28
PHYSICS 1201,,22881.0,R,"(22822,22880)",W F,800A,SOE0241,,R.McDowell (GY),26,28
PHYSICS 1201,,22882.0,B,,M,300P-0505,SM2077A,,F.Hegedus (GR),27,28
PHYSICS 1201,,22883.0,R,"(22822,22882)",W F,800A,SM1064,,F.Hegedus (GY),27,28
PHYSICS 1201,,22884.0,B,,M,740P-0945,SM2077A,,S.Rocks (GR),25,28
PHYSICS 1201,,22885.0,R,"(22822,22884)",W F,800A,SM2006,,S.Rocks (GY),25,28
PHYSICS 1201,,22886.0,B,,T,800A-1005,SM2077A,,C.Lansdell (GR),27,28
PHYSICS 1201,,22887.0,R,"(22822,22886)",W F,800A,FL2100,,C.Lansdell (GY),27,28
PHYSICS 1201,,22888.0,B,,T,800A-1005,SM2077B,,T.Barrett (GR),25,28
PHYSICS 1201,,22889.0,R,"(22822,22888)",W F,800A,SM1042,,T.Barrett (GY),25,28
PHYSICS 1201,,23377.0,B,,T,020A-1225,SM2077A,,D.Divaratne (GY),24,28
PHYSICS 1201,,23378.0,R,"(22822,23377)",W F,800A,SM2180,,Z.Felker (GY),24,28
PHYSICS 1201,,23021.0,L,,M  R,910A,SM1153,,T.Humanic,215,224
PHYSICS 1201,,23022.0,B,,M,020A-1225,SM2077B,,C.Hendrus (GR),28,28
PHYSICS 1201,,23023.0,R,"(23021,23022)",W F,910A,SM2144,,C.Hendrus (GY),28,28
PHYSICS 1201,,23024.0,B,,M,020A-1225,SM2077C,,R.McDowell (GR),27,28
PHYSICS 1201,,23025.0,R,"(23021,23024)",W F,910A,SM1138,,R.McDowell (GY),27,28
PHYSICS 1201,,23026.0,B,,M,300P-0505,SM2077B,,Z.Wang (GR),28,28
PHYSICS 1201,,23027.0,R,"(23021,23026)",W F,910A,EC0254,,Z.Wang (GY),28,28
PHYSICS 1201,,23028.0,B,,M,520P-0725,SM2077A,,S.Rocks (GR),26,28
PHYSICS 1201,,23029.0,R,"(23021,23028)",W F,910A,SM1048,,S.Rocks (GY),26,28
PHYSICS 1201,,23030.0,B,,M,740P-0945,SM2077B,,B.Chen (GR),25,28
PHYSICS 1201,,23031.0,R,"(23021,23030)",W F,910A,MP1005,,B.Chen (GY),25,28
PHYSICS 1201,,23032.0,B,,M,740P-0945,SM2077C,,J.Duncan (GR),26,28
PHYSICS 1201,,23033.0,R,"(23021,23032)",W F,910A,EC0230,,J.Duncan (GY),26,28
PHYSICS 1201,,23227.0,B,,T,800A-1005,SM2077C,,D.Sapkota (GR),28,28
PHYSICS 1201,,23228.0,R,"(23021,23227)",W F,910A,FL2110,,D.Sapkota (GY),28,28
PHYSICS 1201,,23373.0,B,,T,020A-1225,SM2077B,,B.Burrola Gabilondo (GR),27,28
PHYSICS 1201,,23374.0,R,"(23021,23373)",W F,910A,SM1042,,B.Burrola Gabilondo (GY),27,28
PHYSICS 1201,,37902.0,L,,,,,,,0,0
PHYSICS 1201,,22909.0,L,,M  R,020A,SM1153,,Z.Felker,215,224
PHYSICS 1201,,22910.0,B,,M,800A-1005,SM2077A,,F.Hegedus (GR),26,28
PHYSICS 1201,,22911.0,R,"(22909,22910)",W F,020A,SM2144,,F.Hegedus (GY),26,28
PHYSICS 1201,,22890.0,B,,M,800A-1005,SM2077B,,C.Hendrus (GR),27,28
PHYSICS 1201,,22891.0,R,"(22909,22890)",W F,020A,SM1138,,C.Hendrus (GY),27,28
PHYSICS 1201,,22892.0,B,,M,800A-1005,SM2077C,,Z.Wang (GR),25,28
PHYSICS 1201,,22893.0,R,"(22909,22892)",W F,020A,BE0184,,Z.Wang (GY),25,28
PHYSICS 1201,,22907.0,B,,M,240P-0245,SM2077C,,P.Roustazadeh Sheikhyousefi (GY),26,28
PHYSICS 1201,,22908.0,R,"(22909,22907)",W F,020A,SOE0103,,Z.Felker (GY),26,28
PHYSICS 1201,,23017.0,B,,M,300P-0505,SM2077C,,C.Lansdell (GR),28,28
